id,entry_id,source_file,source_group,source_version
"55933","16338","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55934","16339","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55935","16339","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55936","16340","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55937","16340","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55938","16341","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55939","16341","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55940","16342","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55941","16342","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55942","16343","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55943","16343","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55944","16344","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55945","16344","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55946","16345","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55947","16345","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55948","16346","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55949","16346","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55950","16347","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55951","16347","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55952","16348","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55953","16348","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55954","16349","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55955","16349","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55956","16350","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55957","16350","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55958","16351","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55959","16351","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55960","16352","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
